"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","year","t1","t2","good"
"326","Call hurts #Cubs
Strike 1 should be ball 1
Top 6 Bowman vs Russell
4% call same
4.4in from edge https://t.co/A7fdGsgg3k",FALSE,1,NA,2017-04-05 01:56:57,FALSE,NA,"849440692703244290",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Bowman vs Russel","Bowman","hurts"
"327","Call helps #Cubs
Strike 1 should be ball 1
Bot 5 Arrieta vs Fowler
10% call same
3.1in from edge https://t.co/76iIQtqFeA",FALSE,0,NA,2017-04-05 01:53:36,FALSE,NA,"849439851028119556",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Arrieta vs Fowle","Arrieta","helps"
"328","Call hurts #Cubs
Ball 2 should be strike 1
Bot 5 Arrieta vs Piscotty
8% call same
2.9in from edge https://t.co/5uS6Q8infU",FALSE,2,NA,2017-04-05 01:41:09,FALSE,NA,"849436716259827714",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",2,FALSE,FALSE,NA,NA,"2017","Arrieta vs Pisco","Arrieta","hurts"
"329","Call hurts #Cubs
Ball 2 should be strike 1
Bot 5 Arrieta vs Piscotty
8% call same
2.9in from edge https://t.co/ginlXyfqax",FALSE,4,NA,2017-04-05 01:39:06,FALSE,NA,"849436199697735681",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",3,FALSE,FALSE,NA,NA,"2017","Arrieta vs Pisco","Arrieta","hurts"
"330","Call helps #Cubs
Ball 1 should be strike 3
Top 4 Wainwright vs Almora
34% call same
0.9in from edge https://t.co/nsVp4k3Uas",FALSE,0,NA,2017-04-05 01:17:36,FALSE,NA,"849430790819782658",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Wainwright vs Al","Wainwright","helps"
"331","Call helps #Cubs
Strike 1 should be ball 2
Bot 9 Montgomery vs Piscotty
0% call same
6.6in from edge https://t.co/WS7U74APr3",FALSE,6,NA,2017-04-03 04:06:42,FALSE,NA,"848748568080986112",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Montgomery vs Pi","Montgomery","helps"
"332","Call helps #Cubs
Strike 1 should be ball 1
Bot 6 Lester vs Molina
2% call same
6.4in from edge https://t.co/cXFhjRtII2",FALSE,0,NA,2017-04-03 02:25:36,FALSE,NA,"848723124808032256",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lester vs Molina","Lester","helps"
"333","Call hurts #Cubs
Ball 1 should be strike 1
Bot 4 Lester vs Martinez
14% call same
2.4in from edge https://t.co/Oy7dkVIPmn",FALSE,3,NA,2017-04-03 02:00:29,FALSE,NA,"848716807338938370",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lester vs Martin","Lester","hurts"
"334","Call helps #Cubs
Strike 1 should be ball 2
Bot 3 Lester vs Carpenter
4% call same
3.9in from edge https://t.co/dHxugf1FUq",FALSE,3,NA,2017-04-03 01:35:39,FALSE,NA,"848710558014746624",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Lester vs Carpen","Lester","helps"
"335","Call helps #Cubs
Strike 1 should be ball 2
Bot 3 Lester vs Fowler
12% call same
2.6in from edge https://t.co/z9RbZhnAn5",FALSE,3,NA,2017-04-03 01:32:42,FALSE,NA,"848709814716960768",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lester vs Fowler","Lester","helps"
"336","Call helps #Cubs
Strike 1 should be ball 2
Bot 3 Lester vs Fowler
12% call same
2.6in from edge https://t.co/lRvB7b4Mv4",FALSE,2,NA,2017-04-03 01:30:23,FALSE,NA,"848709231356366848",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lester vs Fowler","Lester","helps"
